movie_count,threshold,tier,start_date,end_date,days,max_share,avg_share,representative_movies,representative_movie_labels
3,70% 이상,500만미만,2020-10-21,2020-10-27,7,78.21168866145973,74.93060791009849,삼진그룹 영어토익반 / 소리도 없이 / 담보,"삼진그룹 영어토익반 (<5M, 1,566,916명) / 소리도 없이 (<5M, 398,025명) / 담보 (<5M, 1,715,630명)"
3,60% 이상,500만미만,2020-11-02,2020-11-03,2,60.75722691225377,60.6640390686553,삼진그룹 영어토익반 / 담보 / 위플래쉬,"삼진그룹 영어토익반 (<5M, 1,566,916명) / 담보 (<5M, 1,715,630명) / 위플래쉬 (<5M, 1,717,596명)"
3,70% 이상,500만미만,2020-11-04,2020-11-17,14,85.37906137184116,78.15705853641118,도굴 / 삼진그룹 영어토익반 / 담보,"도굴 (<5M, 1,544,146명) / 삼진그룹 영어토익반 (<5M, 1,566,916명) / 담보 (<5M, 1,715,630명)"
3,60% 이상,500만미만,2020-11-18,2020-11-19,2,62.89592760180996,62.61243925032811,도굴 / 내가 죽던 날 / 삼진그룹 영어토익반,"도굴 (<5M, 1,544,146명) / 내가 죽던 날 (<5M, 234,322명) / 삼진그룹 영어토익반 (<5M, 1,566,916명)"
3,60% 이상,500만미만,2020-11-23,2020-12-09,17,66.33217993079585,62.73567125330887,이웃사촌 / 도굴 / 런,"이웃사촌 (<5M, 427,422명) / 도굴 (<5M, 1,544,146명) / 런 (<5M, 277,525명)"
3,70% 이상,500만미만,2020-12-10,2020-12-10,1,72.21651250428229,72.21651250428229,조제 / 이웃사촌 / 도굴,"조제 (<5M, 209,062명) / 이웃사촌 (<5M, 427,422명) / 도굴 (<5M, 1,544,146명)"
3,60% 이상,500만미만,2020-12-11,2020-12-17,7,69.27214055216923,66.45855969997093,조제 / 이웃사촌 / 도굴,"조제 (<5M, 209,062명) / 이웃사촌 (<5M, 427,422명) / 도굴 (<5M, 1,544,146명)"
3,70% 이상,500만미만,2020-12-23,2020-12-24,2,79.39698492462311,76.34770712199742,원더 우먼 1984 / 조제 / 도굴,"원더 우먼 1984 (<5M, 548,695명) / 조제 (<5M, 209,062명) / 도굴 (<5M, 1,544,146명)"
3,60% 이상,500만미만,2020-12-25,2020-12-26,2,68.64899806076276,67.59548822406384,원더 우먼 1984 / 조제 / 화양연화,"원더 우먼 1984 (<5M, 548,695명) / 조제 (<5M, 209,062명) / 화양연화 (<5M, 114,911명)"
3,70% 이상,500만미만,2020-12-27,2020-12-28,2,70.98004036779547,70.68755104809526,원더 우먼 1984 / 조제 / 화양연화,"원더 우먼 1984 (<5M, 548,695명) / 조제 (<5M, 209,062명) / 화양연화 (<5M, 114,911명)"
3,60% 이상,500만미만,2020-12-29,2021-01-04,7,69.97570288094411,67.57871907909707,원더 우먼 1984 / 화양연화 / 조제,"원더 우먼 1984 (<5M, 548,695명) / 화양연화 (<5M, 114,911명) / 조제 (<5M, 209,062명)"
