date,movie_nm,movie_cd,rank,scrn_cnt,show_cnt,screen_audi_cnt,SS_screen_share_pct,open_date,seat_sales_rate_pct,seat_share_pct_from_kobis,seat_share_pct,seat_share_recalc_vs_kobis_gap_p,audience_share_pct,seats_cnt,audi_cnt,audi_acc,total_seats_cnt,total_audi_cnt,screen_share,seat_share,audience_share,seat_sales_rate,SOI_seat_overallocation,ScOI_screen_overallocation,StEI_seat_efficiency,ScEI_screen_efficiency,MII,MII_pct,screen_minus_audience_share_p,seat_minus_audience_share_p,has_seat_data,over_30_period_start,over_30_period_end,is_in_peak_over_30_period
2024-06-12,범죄도시4,20228797,7,361.0,501.0,4200.0,6.364598025387871,2024-04-24,7.7,2.13,2.255623174142431,0.12562317414243118,1.6285571371516534,54318.0,4200.0,11441884.0,2408115.0,257897.0,0.06364598025387871,0.02255623174142431,0.016285571371516535,0.077,1.3850439279566917,3.9081208022701333,0.7219987610611499,0.2558774537929135,0.058745239774330056,5.874523977433006,4.736040888236218,0.6270660369907777,True,2024-04-24,2024-05-14,False
2024-06-13,범죄도시4,20228797,6,383.0,536.0,4675.0,7.481930064465716,2024-04-24,8.1,2.3,2.422564260700217,0.12256426070021709,2.4103280624055845,57507.0,4675.0,11446559.0,2373807.0,193957.0,0.07481930064465715,0.02422564260700217,0.024103280624055846,0.081,1.0050765696526887,3.104112747622624,0.9949490717364519,0.3221532467742608,0.06875893729243993,6.875893729243993,5.071602002060131,0.012236198294632405,True,2024-04-24,2024-05-14,False
2024-06-14,범죄도시4,20228797,7,401.0,554.0,5847.0,7.596135631748437,2024-04-24,9.7,2.25,2.3759697513393307,0.12596975133933075,1.8924228644297647,60174.0,5847.0,11452406.0,2532608.0,308969.0,0.07596135631748437,0.023759697513393307,0.018924228644297648,0.09699999999999999,1.255517356082712,4.01397371302494,0.7964844095186855,0.2491296833248062,0.06859310475468838,6.859310475468838,5.703712767318672,0.48354688690956604,True,2024-04-24,2024-05-14,False
2024-06-15,범죄도시4,20228797,8,341.0,461.0,9190.0,5.8560879271853,2024-04-24,18.8,1.66,1.7469750202142351,0.0869750202142352,1.0249021101385012,48829.0,9190.0,11461596.0,2795060.0,896671.0,0.058560879271852995,0.01746975020214235,0.010249021101385012,0.188,1.7045286597938176,5.713802195600837,0.5866724471039176,0.17501480901280037,0.04755143396874464,4.755143396874463,4.831185817046799,0.7220729100757339,True,2024-04-24,2024-05-14,False
2024-06-16,범죄도시4,20228797,7,327.0,432.0,7968.0,5.68794572969212,2024-04-24,17.3,1.63,1.7104644729092173,0.08046447290921743,0.9759156558035627,46000.0,7968.0,11469564.0,2689328.0,816464.0,0.056879457296921204,0.017104644729092174,0.009759156558035626,0.17300000000000001,1.7526765379133427,5.828316920491149,0.5705559345197573,0.17157611942552542,0.04703931118455383,4.703931118455383,4.712030073888558,0.7345488171056547,True,2024-04-24,2024-05-14,False
2024-06-17,범죄도시4,20228797,7,376.0,540.0,4234.0,7.622136630853436,2024-04-24,7.3,2.41,2.54512862774328,0.13512862774327994,2.2534101855843485,58185.0,4234.0,11473798.0,2286132.0,187893.0,0.07622136630853436,0.025451286277432802,0.022534101855843484,0.073,1.1294564318671898,3.382489650403743,0.885381650664315,0.29564022461403167,0.07065720656801136,7.065720656801136,5.368726445269088,0.2917184421589316,True,2024-04-24,2024-05-14,False
2024-06-18,범죄도시4,20228797,8,372.0,524.0,3910.0,7.475884244372991,2024-04-24,6.9,2.36,2.503639022968424,0.14363902296842435,2.122946280228909,57035.0,3910.0,11477708.0,2278084.0,184178.0,0.0747588424437299,0.025036390229684242,0.02122946280228909,0.069,1.1793228336886916,3.521466517545086,0.8479442366702892,0.2839725992048132,0.06960048231511255,6.960048231511255,5.352937964144082,0.38069274273951503,True,2024-04-24,2024-05-14,False
2024-06-19,범죄도시4,20228797,10,310.0,468.0,3718.0,6.628180457558264,,,,,,,,,,,,0.06628180457558264,,,,,,,,,,,,False,2024-04-24,2024-05-14,False
2024-06-20,범죄도시4,20228797,6,316.0,488.0,3534.0,6.620574062434527,2024-04-24,6.7,2.19,2.5145351188839005,0.3245351188839005,1.9622867803837953,52842.0,3534.0,11484960.0,2101462.0,180096.0,0.06620574062434527,0.025145351188839003,0.019622867803837953,0.067,1.281431003878084,3.3739074882518634,0.7803775599104674,0.29639224059404606,0.06176995600251414,6.176995600251415,4.658287282050732,0.5522483385001051,True,2024-04-24,2024-05-14,False
2024-06-21,범죄도시4,20228797,10,190.0,245.0,1765.0,4.144851657940663,2024-04-24,7.4,0.88,0.9604025774975818,0.08040257749758184,0.5294147642229601,23780.0,1765.0,11486725.0,2476045.0,333387.0,0.04144851657940663,0.009604025774975818,0.005294147642229601,0.07400000000000001,1.8140834793438319,7.829119884905745,0.5512425483096884,0.1277282778525289,0.03838132635253054,3.838132635253054,3.615436893717703,0.43098781327462177,True,2024-04-24,2024-05-14,False
